,Player No,Acceleration,Aggression,Agility,Balance,Ballcontrol,Composure,Crossing,Curve,Dribbling,Finishing,Freekickaccuracy,GKdiving,GKhandling,GKkicking,GKpositioning,GKreflexes,Headingaccuracy,ID,Interceptions,Jumping,Longpassing,Longshots,Marking,Penalties,Positioning,Reactions,Shortpassing,Shotpower,Slidingtackle,Sprintspeed,Stamina,Standingtackle,Strength,Vision,Volleys
10,10,75.0,84.0,79.0,60.0,84.0,80.0,66.0,73.0,61.0,60.0,67.0,11.0,8.0,9.0,7.0,11.0,91.0,155862,88.0,93.0,72.0,55.0,86.0,68.0,52.0,85.0,78.0,79.0,91.0,77.0,84.0,89.0,81.0,63.0,66.0
11,11,76.0,68.0,80.0,75.0,87.0,84.0,90.0,83.0,85.0,83.0,83.0,15.0,13.0,5.0,10.0,13.0,53.0,192985,56.0,65.0,84.0,86.0,30.0,77.0,84.0,88.0,90.0,85.0,40.0,75.0,87.0,51.0,73.0,90.0,82.0
12,12,46.0,23.0,61.0,45.0,23.0,52.0,14.0,19.0,13.0,14.0,11.0,85.0,91.0,69.0,86.0,88.0,13.0,192119,15.0,68.0,31.0,17.0,11.0,27.0,13.0,81.0,32.0,36.0,16.0,52.0,38.0,18.0,70.0,44.0,12.0
13,13,88.0,80.0,90.0,87.0,87.0,86.0,80.0,78.0,90.0,85.0,78.0,10.0,10.0,15.0,12.0,13.0,70.0,184941,42.0,85.0,73.0,82.0,30.0,77.0,86.0,87.0,81.0,84.0,35.0,84.0,85.0,39.0,72.0,83.0,83.0
14,14,75.0,62.0,93.0,94.0,92.0,84.0,78.0,79.0,86.0,71.0,77.0,13.0,9.0,7.0,14.0,9.0,55.0,177003,76.0,67.0,83.0,82.0,66.0,80.0,79.0,88.0,92.0,73.0,73.0,71.0,82.0,80.0,58.0,90.0,74.0
15,15,93.0,65.0,77.0,65.0,87.0,85.0,87.0,86.0,89.0,87.0,85.0,15.0,15.0,11.0,5.0,6.0,86.0,173731,59.0,85.0,80.0,90.0,51.0,76.0,86.0,87.0,86.0,91.0,52.0,95.0,76.0,55.0,80.0,79.0,76.0
16,16,90.0,63.0,86.0,91.0,89.0,90.0,70.0,82.0,89.0,90.0,72.0,13.0,15.0,6.0,11.0,14.0,68.0,153079,24.0,80.0,63.0,83.0,13.0,83.0,91.0,89.0,79.0,88.0,12.0,84.0,74.0,20.0,74.0,83.0,85.0
17,17,68.0,92.0,59.0,64.0,57.0,82.0,58.0,60.0,58.0,33.0,31.0,3.0,3.0,2.0,4.0,3.0,84.0,138956,88.0,89.0,59.0,49.0,92.0,50.0,28.0,82.0,59.0,78.0,90.0,78.0,68.0,92.0,91.0,50.0,45.0
18,18,49.0,38.0,55.0,49.0,28.0,70.0,13.0,20.0,26.0,15.0,13.0,89.0,88.0,74.0,90.0,84.0,13.0,1179,28.0,75.0,35.0,13.0,10.0,22.0,12.0,80.0,37.0,39.0,11.0,43.0,39.0,11.0,69.0,50.0,17.0
19,19,88.0,48.0,91.0,85.0,93.0,84.0,80.0,88.0,92.0,85.0,84.0,5.0,4.0,4.0,5.0,8.0,68.0,211110,24.0,75.0,71.0,88.0,14.0,86.0,84.0,84.0,83.0,82.0,20.0,84.0,83.0,20.0,65.0,84.0,88.0
20,20,43.0,34.0,67.0,49.0,16.0,55.0,13.0,13.0,12.0,11.0,14.0,84.0,90.0,77.0,87.0,84.0,15.0,200389,19.0,76.0,26.0,12.0,14.0,11.0,11.0,84.0,29.0,22.0,18.0,60.0,41.0,12.0,78.0,55.0,13.0
21,21,87.0,69.0,90.0,80.0,86.0,86.0,82.0,84.0,87.0,88.0,75.0,14.0,8.0,14.0,13.0,14.0,80.0,194765,35.0,87.0,75.0,82.0,23.0,71.0,91.0,90.0,79.0,81.0,11.0,86.0,76.0,22.0,61.0,76.0,87.0
22,22,77.0,57.0,90.0,86.0,92.0,83.0,72.0,85.0,90.0,69.0,77.0,6.0,11.0,7.0,9.0,13.0,58.0,189509,78.0,75.0,90.0,82.0,49.0,75.0,83.0,84.0,91.0,75.0,62.0,68.0,75.0,64.0,59.0,86.0,90.0
23,23,95.0,43.0,77.0,70.0,82.0,84.0,77.0,78.0,82.0,88.0,74.0,6.0,9.0,15.0,9.0,9.0,79.0,188567,48.0,77.0,64.0,79.0,28.0,79.0,89.0,87.0,77.0,81.0,36.0,96.0,79.0,25.0,77.0,77.0,86.0
24,24,62.0,82.0,60.0,52.0,75.0,84.0,44.0,56.0,69.0,39.0,61.0,2.0,2.0,3.0,2.0,4.0,88.0,184344,90.0,85.0,85.0,65.0,84.0,70.0,38.0,86.0,79.0,74.0,88.0,72.0,73.0,88.0,85.0,74.0,58.0
25,25,72.0,82.0,58.0,53.0,71.0,86.0,69.0,56.0,67.0,34.0,31.0,7.0,12.0,15.0,6.0,5.0,85.0,183907,83.0,75.0,80.0,58.0,88.0,46.0,47.0,82.0,75.0,79.0,90.0,78.0,74.0,91.0,91.0,76.0,53.0
26,26,62.0,86.0,63.0,58.0,76.0,82.0,55.0,49.0,53.0,42.0,51.0,6.0,8.0,15.0,5.0,15.0,92.0,182493,88.0,89.0,70.0,43.0,87.0,50.0,48.0,85.0,79.0,67.0,89.0,67.0,67.0,86.0,80.0,52.0,47.0
27,27,62.0,66.0,64.0,58.0,77.0,91.0,64.0,65.0,68.0,55.0,53.0,15.0,6.0,10.0,5.0,6.0,89.0,178603,89.0,68.0,85.0,51.0,85.0,68.0,56.0,85.0,80.0,71.0,90.0,65.0,66.0,92.0,85.0,79.0,60.0
28,28,75.0,48.0,83.0,70.0,90.0,78.0,82.0,84.0,86.0,74.0,79.0,6.0,14.0,10.0,6.0,14.0,54.0,176635,24.0,52.0,84.0,76.0,22.0,67.0,83.0,87.0,89.0,70.0,19.0,68.0,69.0,16.0,57.0,92.0,77.0
29,29,65.0,31.0,55.0,54.0,34.0,61.0,13.0,11.0,10.0,10.0,10.0,88.0,86.0,68.0,82.0,90.0,10.0,167948,27.0,74.0,50.0,14.0,12.0,40.0,10.0,85.0,50.0,23.0,18.0,63.0,41.0,10.0,43.0,30.0,11.0
30,30,70.0,77.0,74.0,68.0,80.0,83.0,60.0,61.0,68.0,38.0,67.0,9.0,12.0,5.0,9.0,10.0,82.0,164240,89.0,93.0,81.0,71.0,90.0,71.0,59.0,84.0,79.0,74.0,88.0,74.0,74.0,89.0,81.0,74.0,63.0
31,31,63.0,84.0,81.0,41.0,88.0,91.0,76.0,82.0,82.0,87.0,82.0,13.0,15.0,10.0,9.0,12.0,80.0,41236,20.0,69.0,76.0,85.0,15.0,91.0,86.0,86.0,84.0,91.0,27.0,67.0,71.0,41.0,88.0,83.0,90.0
32,32,87.0,47.0,89.0,91.0,89.0,86.0,80.0,87.0,92.0,85.0,81.0,10.0,8.0,11.0,5.0,15.0,51.0,9014,39.0,61.0,71.0,88.0,29.0,80.0,85.0,87.0,84.0,87.0,26.0,86.0,68.0,26.0,67.0,83.0,86.0
33,33,82.0,90.0,83.0,90.0,79.0,84.0,67.0,49.0,77.0,65.0,49.0,15.0,12.0,10.0,7.0,10.0,54.0,215914,91.0,79.0,79.0,66.0,75.0,54.0,71.0,87.0,84.0,72.0,85.0,80.0,94.0,89.0,77.0,76.0,56.0
34,34,69.0,89.0,87.0,94.0,88.0,91.0,72.0,73.0,90.0,58.0,64.0,12.0,12.0,15.0,15.0,10.0,55.0,199556,86.0,64.0,89.0,58.0,76.0,64.0,71.0,87.0,90.0,56.0,79.0,62.0,77.0,84.0,56.0,88.0,64.0
35,35,72.0,75.0,76.0,61.0,89.0,85.0,78.0,84.0,86.0,71.0,82.0,5.0,6.0,2.0,4.0,3.0,73.0,195864,68.0,85.0,88.0,82.0,66.0,76.0,83.0,84.0,86.0,90.0,66.0,76.0,91.0,68.0,91.0,86.0,85.0
36,36,77.0,44.0,78.0,82.0,87.0,87.0,86.0,85.0,84.0,76.0,87.0,9.0,14.0,7.0,7.0,6.0,52.0,190460,55.0,57.0,86.0,84.0,38.0,67.0,81.0,83.0,89.0,80.0,22.0,74.0,90.0,56.0,57.0,90.0,74.0
37,37,76.0,93.0,75.0,77.0,83.0,86.0,76.0,76.0,76.0,77.0,68.0,4.0,2.0,4.0,2.0,4.0,81.0,181872,85.0,82.0,82.0,85.0,76.0,81.0,80.0,89.0,84.0,86.0,85.0,74.0,91.0,89.0,77.0,80.0,78.0
38,38,75.0,84.0,81.0,59.0,80.0,83.0,70.0,75.0,80.0,83.0,74.0,12.0,5.0,13.0,13.0,10.0,88.0,179813,48.0,88.0,50.0,78.0,24.0,84.0,92.0,91.0,78.0,85.0,27.0,78.0,92.0,45.0,74.0,77.0,84.0
39,39,77.0,84.0,77.0,82.0,88.0,85.0,90.0,80.0,84.0,67.0,67.0,12.0,5.0,5.0,5.0,9.0,71.0,176676,83.0,77.0,76.0,66.0,80.0,59.0,75.0,87.0,82.0,83.0,87.0,79.0,81.0,85.0,77.0,75.0,54.0
40,40,72.0,56.0,76.0,66.0,87.0,84.0,78.0,80.0,86.0,78.0,72.0,8.0,6.0,4.0,14.0,14.0,74.0,171877,72.0,71.0,82.0,83.0,60.0,70.0,88.0,88.0,88.0,82.0,62.0,75.0,85.0,73.0,69.0,86.0,79.0
41,41,67.0,67.0,72.0,66.0,87.0,81.0,81.0,88.0,84.0,83.0,84.0,14.0,11.0,12.0,5.0,9.0,58.0,168651,69.0,44.0,92.0,88.0,52.0,78.0,80.0,79.0,87.0,84.0,53.0,64.0,76.0,65.0,63.0,87.0,80.0
42,42,72.0,51.0,92.0,89.0,90.0,92.0,83.0,82.0,84.0,71.0,75.0,1.0,1.0,1.0,1.0,1.0,54.0,168542,43.0,66.0,79.0,73.0,25.0,73.0,81.0,84.0,91.0,71.0,29.0,65.0,78.0,44.0,56.0,92.0,79.0
43,43,54.0,25.0,42.0,36.0,24.0,62.0,12.0,12.0,18.0,10.0,14.0,87.0,86.0,69.0,87.0,87.0,10.0,162835,22.0,78.0,34.0,19.0,17.0,23.0,12.0,83.0,36.0,22.0,13.0,57.0,41.0,10.0,71.0,41.0,12.0
44,44,55.0,72.0,58.0,42.0,78.0,86.0,57.0,58.0,59.0,64.0,43.0,10.0,11.0,14.0,15.0,8.0,83.0,152729,88.0,74.0,80.0,51.0,86.0,69.0,58.0,84.0,81.0,62.0,86.0,73.0,66.0,87.0,83.0,62.0,57.0
45,45,72.0,58.0,79.0,84.0,94.0,89.0,77.0,80.0,90.0,70.0,70.0,6.0,13.0,6.0,13.0,7.0,54.0,41,66.0,52.0,86.0,71.0,57.0,71.0,84.0,88.0,92.0,65.0,56.0,71.0,58.0,57.0,58.0,94.0,74.0
46,46,68.0,74.0,73.0,62.0,82.0,84.0,70.0,71.0,78.0,90.0,66.0,8.0,10.0,11.0,14.0,11.0,83.0,202126,35.0,70.0,67.0,84.0,41.0,84.0,89.0,87.0,75.0,87.0,38.0,74.0,85.0,36.0,86.0,75.0,73.0
47,47,77.0,65.0,82.0,75.0,85.0,87.0,88.0,87.0,83.0,82.0,86.0,15.0,15.0,15.0,5.0,14.0,62.0,198710,55.0,54.0,80.0,91.0,25.0,81.0,80.0,84.0,84.0,86.0,30.0,75.0,68.0,42.0,70.0,86.0,91.0
48,48,74.0,58.0,83.0,85.0,91.0,86.0,72.0,86.0,90.0,88.0,74.0,10.0,8.0,12.0,15.0,6.0,55.0,197781,70.0,64.0,85.0,87.0,25.0,76.0,83.0,79.0,86.0,72.0,51.0,69.0,71.0,73.0,59.0,84.0,64.0
49,49,86.0,69.0,79.0,77.0,83.0,79.0,82.0,78.0,79.0,63.0,85.0,5.0,7.0,14.0,15.0,9.0,75.0,197445,85.0,82.0,80.0,83.0,81.0,80.0,77.0,84.0,83.0,83.0,83.0,86.0,87.0,83.0,69.0,78.0,68.0
50,50,76.0,72.0,62.0,47.0,75.0,84.0,68.0,72.0,77.0,89.0,66.0,8.0,15.0,14.0,7.0,10.0,87.0,192505,27.0,71.0,68.0,75.0,27.0,82.0,87.0,85.0,71.0,88.0,30.0,89.0,80.0,30.0,93.0,73.0,76.0
51,51,84.0,82.0,79.0,79.0,81.0,82.0,86.0,78.0,82.0,55.0,59.0,7.0,7.0,9.0,12.0,5.0,76.0,191043,82.0,79.0,71.0,72.0,78.0,60.0,70.0,86.0,81.0,80.0,84.0,88.0,93.0,84.0,80.0,70.0,68.0
52,52,76.0,57.0,76.0,72.0,82.0,83.0,77.0,81.0,75.0,87.0,59.0,6.0,7.0,11.0,14.0,14.0,82.0,189596,58.0,81.0,68.0,77.0,31.0,60.0,93.0,92.0,81.0,77.0,44.0,78.0,90.0,41.0,67.0,81.0,83.0
53,53,48.0,85.0,58.0,55.0,80.0,88.0,62.0,66.0,74.0,60.0,68.0,5.0,8.0,13.0,9.0,13.0,68.0,189511,86.0,66.0,79.0,54.0,81.0,60.0,77.0,82.0,88.0,61.0,80.0,34.0,88.0,85.0,77.0,84.0,44.0
54,54,88.0,55.0,92.0,92.0,88.0,85.0,77.0,84.0,88.0,74.0,82.0,12.0,7.0,9.0,14.0,6.0,47.0,189242,30.0,59.0,78.0,86.0,24.0,64.0,83.0,81.0,85.0,80.0,40.0,77.0,80.0,44.0,61.0,87.0,75.0
55,55,86.0,49.0,86.0,81.0,85.0,83.0,80.0,90.0,86.0,86.0,84.0,12.0,12.0,13.0,13.0,11.0,49.0,188350,50.0,72.0,80.0,88.0,30.0,87.0,86.0,87.0,86.0,87.0,46.0,90.0,68.0,36.0,67.0,86.0,88.0
56,56,62.0,81.0,60.0,50.0,70.0,81.0,64.0,63.0,62.0,45.0,69.0,16.0,6.0,14.0,16.0,14.0,82.0,184087,84.0,81.0,81.0,66.0,89.0,60.0,56.0,86.0,77.0,86.0,85.0,69.0,76.0,90.0,82.0,67.0,38.0
57,57,68.0,86.0,72.0,56.0,79.0,78.0,68.0,70.0,66.0,55.0,76.0,11.0,12.0,10.0,7.0,14.0,83.0,179944,87.0,80.0,78.0,71.0,80.0,75.0,54.0,79.0,79.0,77.0,84.0,71.0,76.0,85.0,81.0,69.0,64.0
58,58,74.0,93.0,58.0,52.0,83.0,84.0,65.0,62.0,77.0,88.0,59.0,11.0,13.0,12.0,8.0,11.0,83.0,179844,40.0,64.0,52.0,73.0,28.0,76.0,88.0,86.0,67.0,84.0,34.0,75.0,83.0,39.0,91.0,74.0,81.0
59,59,80.0,88.0,81.0,84.0,85.0,85.0,73.0,73.0,80.0,76.0,68.0,11.0,11.0,14.0,8.0,11.0,59.0,178518,86.0,76.0,81.0,86.0,78.0,63.0,88.0,87.0,84.0,84.0,88.0,76.0,94.0,86.0,76.0,76.0,75.0
60,60,49.0,91.0,54.0,58.0,71.0,83.0,60.0,54.0,62.0,53.0,45.0,5.0,12.0,9.0,11.0,8.0,90.0,177610,86.0,83.0,74.0,63.0,84.0,52.0,57.0,84.0,75.0,76.0,87.0,50.0,64.0,87.0,84.0,74.0,61.0
61,61,93.0,59.0,94.0,92.0,88.0,81.0,77.0,81.0,89.0,85.0,77.0,7.0,10.0,8.0,10.0,4.0,35.0,175943,36.0,60.0,74.0,81.0,30.0,78.0,85.0,85.0,81.0,80.0,40.0,87.0,75.0,40.0,42.0,82.0,70.0
62,62,71.0,91.0,62.0,68.0,58.0,82.0,47.0,36.0,58.0,44.0,35.0,6.0,8.0,5.0,12.0,5.0,87.0,172879,80.0,87.0,64.0,48.0,88.0,33.0,50.0,81.0,64.0,79.0,86.0,84.0,74.0,90.0,86.0,52.0,46.0
63,63,67.0,83.0,61.0,57.0,72.0,84.0,48.0,32.0,65.0,43.0,39.0,12.0,6.0,10.0,13.0,12.0,83.0,168609,88.0,82.0,69.0,41.0,89.0,49.0,43.0,82.0,70.0,70.0,86.0,74.0,65.0,90.0,80.0,58.0,51.0
64,64,77.0,65.0,77.0,60.0,86.0,82.0,75.0,79.0,82.0,87.0,73.0,13.0,11.0,5.0,5.0,7.0,78.0,165153,22.0,70.0,47.0,77.0,13.0,82.0,87.0,83.0,86.0,83.0,12.0,78.0,73.0,15.0,78.0,85.0,79.0
65,65,65.0,45.0,65.0,77.0,86.0,92.0,85.0,77.0,80.0,76.0,81.0,6.0,10.0,8.0,15.0,15.0,74.0,162895,50.0,68.0,90.0,75.0,60.0,80.0,78.0,81.0,91.0,77.0,62.0,62.0,80.0,63.0,64.0,91.0,81.0
66,66,85.0,52.0,88.0,91.0,90.0,86.0,81.0,83.0,90.0,76.0,81.0,15.0,6.0,9.0,7.0,10.0,41.0,156616,36.0,34.0,75.0,75.0,13.0,78.0,81.0,86.0,86.0,76.0,26.0,79.0,64.0,25.0,60.0,86.0,80.0
67,67,65.0,94.0,63.0,49.0,62.0,77.0,46.0,44.0,58.0,46.0,47.0,8.0,15.0,5.0,9.0,10.0,80.0,120533,86.0,76.0,61.0,56.0,86.0,57.0,40.0,83.0,70.0,63.0,87.0,70.0,62.0,86.0,84.0,48.0,23.0
68,68,40.0,17.0,49.0,34.0,22.0,70.0,19.0,13.0,12.0,12.0,19.0,82.0,87.0,76.0,83.0,81.0,19.0,48940,23.0,51.0,33.0,11.0,11.0,23.0,13.0,84.0,35.0,21.0,12.0,44.0,32.0,13.0,65.0,53.0,17.0
69,69,87.0,61.0,91.0,71.0,86.0,75.0,80.0,81.0,91.0,79.0,78.0,9.0,11.0,9.0,10.0,10.0,53.0,208418,18.0,68.0,74.0,75.0,19.0,74.0,82.0,83.0,79.0,84.0,26.0,89.0,73.0,39.0,59.0,74.0,68.0
70,70,77.0,77.0,58.0,47.0,77.0,82.0,36.0,46.0,57.0,40.0,54.0,11.0,11.0,9.0,5.0,14.0,83.0,201535,82.0,80.0,76.0,53.0,84.0,43.0,44.0,81.0,75.0,52.0,85.0,81.0,68.0,86.0,85.0,56.0,42.0
71,71,63.0,87.0,66.0,57.0,78.0,86.0,52.0,59.0,69.0,59.0,74.0,13.0,14.0,16.0,12.0,12.0,74.0,200145,86.0,87.0,84.0,77.0,83.0,66.0,66.0,83.0,82.0,86.0,86.0,61.0,85.0,87.0,85.0,76.0,53.0
72,72,94.0,34.0,96.0,93.0,90.0,78.0,83.0,83.0,88.0,73.0,77.0,8.0,4.0,14.0,9.0,10.0,56.0,198219,26.0,53.0,73.0,80.0,16.0,61.0,83.0,80.0,83.0,70.0,22.0,86.0,75.0,24.0,44.0,87.0,74.0
73,73,84.0,70.0,87.0,84.0,84.0,86.0,64.0,74.0,85.0,87.0,71.0,11.0,6.0,9.0,5.0,6.0,72.0,193301,40.0,76.0,59.0,76.0,23.0,84.0,87.0,85.0,79.0,81.0,30.0,87.0,80.0,42.0,79.0,74.0,82.0
74,74,54.0,32.0,60.0,61.0,19.0,49.0,11.0,11.0,16.0,15.0,15.0,87.0,82.0,72.0,80.0,85.0,11.0,193041,20.0,74.0,37.0,13.0,12.0,25.0,16.0,82.0,30.0,21.0,14.0,53.0,39.0,14.0,75.0,54.0,11.0
75,75,88.0,69.0,89.0,85.0,87.0,79.0,79.0,83.0,87.0,77.0,64.0,5.0,11.0,14.0,5.0,7.0,53.0,192883,64.0,71.0,72.0,75.0,49.0,72.0,82.0,82.0,84.0,87.0,55.0,84.0,86.0,53.0,63.0,85.0,81.0
76,76,51.0,31.0,42.0,37.0,19.0,65.0,11.0,24.0,11.0,10.0,66.0,84.0,79.0,79.0,85.0,87.0,13.0,192593,20.0,75.0,26.0,14.0,15.0,23.0,15.0,82.0,24.0,24.0,13.0,54.0,32.0,14.0,80.0,52.0,13.0
77,77,46.0,28.0,52.0,44.0,22.0,62.0,9.0,9.0,16.0,9.0,8.0,85.0,84.0,74.0,85.0,83.0,13.0,192563,22.0,73.0,33.0,14.0,8.0,23.0,7.0,81.0,37.0,23.0,18.0,52.0,43.0,15.0,68.0,53.0,10.0
78,78,38.0,43.0,37.0,43.0,18.0,62.0,15.0,18.0,17.0,14.0,12.0,84.0,83.0,87.0,81.0,86.0,11.0,192448,22.0,79.0,38.0,10.0,10.0,25.0,11.0,82.0,30.0,22.0,10.0,50.0,35.0,13.0,79.0,57.0,14.0
79,79,53.0,86.0,34.0,55.0,59.0,79.0,29.0,35.0,51.0,27.0,26.0,10.0,14.0,5.0,8.0,10.0,85.0,190547,87.0,82.0,59.0,20.0,85.0,39.0,24.0,79.0,63.0,57.0,83.0,58.0,72.0,87.0,90.0,23.0,17.0
80,80,93.0,75.0,90.0,86.0,83.0,75.0,82.0,77.0,80.0,73.0,64.0,13.0,15.0,13.0,6.0,13.0,63.0,189332,83.0,81.0,70.0,66.0,81.0,59.0,77.0,82.0,79.0,64.0,83.0,93.0,90.0,84.0,60.0,68.0,60.0
81,81,73.0,68.0,83.0,81.0,88.0,86.0,74.0,81.0,87.0,72.0,74.0,11.0,14.0,5.0,5.0,13.0,49.0,186942,79.0,62.0,83.0,74.0,57.0,76.0,79.0,87.0,88.0,77.0,64.0,70.0,71.0,67.0,74.0,87.0,75.0
82,82,78.0,80.0,75.0,73.0,79.0,78.0,78.0,66.0,69.0,46.0,58.0,13.0,9.0,10.0,6.0,5.0,76.0,184432,85.0,76.0,74.0,60.0,87.0,66.0,62.0,86.0,80.0,68.0,87.0,79.0,88.0,88.0,73.0,68.0,51.0
83,83,86.0,73.0,92.0,79.0,85.0,82.0,85.0,78.0,86.0,74.0,72.0,10.0,7.0,11.0,12.0,11.0,53.0,183898,38.0,72.0,79.0,77.0,37.0,73.0,82.0,80.0,83.0,83.0,56.0,86.0,78.0,59.0,60.0,81.0,77.0
84,84,74.0,68.0,79.0,79.0,89.0,84.0,80.0,86.0,86.0,61.0,91.0,7.0,7.0,13.0,7.0,8.0,60.0,180206,74.0,61.0,85.0,82.0,62.0,79.0,70.0,84.0,89.0,78.0,66.0,74.0,78.0,70.0,65.0,88.0,72.0
85,85,78.0,78.0,81.0,79.0,85.0,84.0,76.0,78.0,84.0,61.0,78.0,4.0,3.0,4.0,2.0,4.0,68.0,173210,80.0,68.0,85.0,82.0,72.0,78.0,80.0,86.0,87.0,82.0,80.0,78.0,81.0,78.0,70.0,84.0,76.0
86,86,68.0,83.0,62.0,55.0,74.0,81.0,68.0,58.0,69.0,56.0,73.0,6.0,10.0,9.0,12.0,7.0,81.0,172871,86.0,83.0,74.0,68.0,84.0,68.0,60.0,82.0,79.0,86.0,86.0,66.0,79.0,86.0,81.0,68.0,52.0
87,87,79.0,85.0,76.0,79.0,77.0,82.0,75.0,65.0,73.0,65.0,52.0,8.0,11.0,5.0,10.0,14.0,73.0,170890,85.0,84.0,79.0,66.0,83.0,56.0,68.0,84.0,84.0,74.0,81.0,78.0,94.0,84.0,78.0,75.0,72.0
88,88,45.0,31.0,51.0,55.0,15.0,57.0,11.0,17.0,12.0,11.0,12.0,82.0,84.0,77.0,85.0,87.0,12.0,167628,25.0,72.0,34.0,11.0,11.0,25.0,12.0,78.0,33.0,21.0,11.0,50.0,37.0,12.0,76.0,49.0,13.0
89,89,75.0,81.0,74.0,60.0,81.0,88.0,84.0,74.0,77.0,59.0,75.0,11.0,15.0,9.0,9.0,5.0,68.0,164169,82.0,63.0,77.0,60.0,85.0,65.0,71.0,83.0,78.0,71.0,86.0,82.0,91.0,83.0,74.0,70.0,56.0
90,90,61.0,87.0,60.0,42.0,68.0,81.0,61.0,61.0,63.0,45.0,52.0,10.0,9.0,5.0,8.0,6.0,84.0,139720,80.0,71.0,66.0,55.0,84.0,63.0,41.0,84.0,72.0,75.0,84.0,64.0,74.0,85.0,88.0,59.0,46.0
91,91,64.0,70.0,51.0,64.0,65.0,82.0,40.0,50.0,64.0,21.0,31.0,4.0,2.0,4.0,2.0,4.0,72.0,137186,92.0,85.0,65.0,39.0,90.0,60.0,28.0,80.0,65.0,54.0,88.0,76.0,46.0,90.0,87.0,62.0,35.0
92,92,75.0,87.0,63.0,63.0,68.0,74.0,51.0,46.0,63.0,33.0,43.0,14.0,14.0,10.0,9.0,8.0,81.0,225508,85.0,84.0,56.0,48.0,82.0,46.0,47.0,78.0,72.0,55.0,85.0,80.0,78.0,85.0,85.0,54.0,42.0
93,93,79.0,45.0,78.0,76.0,86.0,82.0,79.0,83.0,83.0,82.0,76.0,13.0,9.0,6.0,12.0,10.0,50.0,220834,45.0,57.0,81.0,87.0,29.0,62.0,72.0,78.0,86.0,84.0,39.0,77.0,73.0,42.0,61.0,83.0,75.0
94,94,85.0,58.0,88.0,86.0,89.0,84.0,79.0,79.0,91.0,76.0,63.0,9.0,10.0,14.0,12.0,9.0,51.0,218667,49.0,53.0,78.0,64.0,46.0,64.0,77.0,84.0,84.0,72.0,35.0,78.0,80.0,44.0,54.0,85.0,66.0
